year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2015,Kia,Sorento,LX,SUV,automatic,5xyktca64fg570963,ca,46,13452,silver,black,kia motors america  inc,20600,21500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb5e7115504,ca,41,37938,black,black,avis rac/san leandro,12950,13700,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb0e7134820,ca,42,39623,blue,black,avis corporation,13350,13200,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,,1gc1kvc84ef152736,ca,36,8742,white,gray,enterprise fleet management exchange  inc.,34000,34000,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2015,Kia,Sorento,LX,SUV,automatic,5xyktca60fg563086,ca,5,16348,gray,gray,kia motors america  inc,20500,20500,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh553630,ca,,9750,blue,gray,avis rac/san leandro,13700,10000,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae4fh552981,ca,35,3367,silver,gray,ag leaseplan,13900,13200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Acura,MDX,Advance and Entertainment Packages,SUV,automatic,5fryd3h83eb011004,ca,49,21523,white,gray,onemain rem/m&m auto traders,39500,41500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2015,Ford,Fusion,SE,Sedan,automatic,3fa6p0h7xfr151689,ca,1,4205,white,black,enterprise vehicle exchange / tra / rental / tulsa,14700,12000,Wed Dec 17 2014 15:05:00 GMT-0800 (PST)
2014,BMW,6 Series,650i,Convertible,automatic,wbayp9c53ed169288,ca,37,8891,silver,black,the hertz corporation,68000,67200,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb8e7420706,ca,2,8154,silver,black,enterprise vehicle exchange / tra / rental / tulsa,14150,10000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcpcrecxeg363552,ca,37,6726,black,black,repo remarketing/visterra credit union,26900,30250,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb4e7109323,ca,37,36771,silver,black,avis rac/san leandro,13000,13600,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
2013,Acura,MDX,Base,suv,automatic,2hnyd2h21dh518557,ca,41,25921,black,beige,rusnak westlake audi,28700,28000,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2013,Acura,RDX,Technology Package,suv,automatic,5j8tb4h51dl015921,nv,41,32483,white,beige,honda r&d americas inc,28100,29000,Fri Jun 19 2015 05:00:00 GMT-0700 (PDT)
2013,Audi,A6,3.0T Premium Plus quattro,sedan,automatic,wauggafc8dn125786,ca,38,35785,white,black,mckenna porsche,31900,30250,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2013,Audi,A4,2.0T Premium Plus quattro,sedan,automatic,wauffafl8dn003234,ca,33,36165,black,beige,rusnak westlake audi,23100,24250,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2014,Volkswagen,Passat,TDI SE,sedan,automatic,1vwbn7a37ec058735,ga,47,30676,silver,—,onesource/savannah toyota scion,18750,18800,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
2013,Audi,S5,Premium Plus quattro,coupe,automatic,waucgafr6da000814,ca,41,37549,black,black,commonwealth audi volkswagen,34700,34000,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2013,BMW,1 Series,135i,coupe,automatic,wbauc9c5xdvm13361,ca,45,35359,blue,black,south bay bmw,26500,26750,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2013,BMW,5 Series,528i,sedan,automatic,wbaxg5c53ddy37254,ca,34,40776,black,black,rusnak westlake audi,25200,24750,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2013,BMW,6 Series Gran Coupe,640i,sedan,automatic,wba6a0c54ddz03410,ca,49,45004,gray,black,rusnak westlake audi,45700,45000,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2013,Audi,S5,Premium Plus quattro,coupe,manual,wauggafr9da002526,ca,35,22476,black,black,mckenna audi/mckenna bmw,37500,37500,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2013,BMW,X6,xDrive35i,suv,,5uxfg2c58dl786139,pa,49,25898,silver,black,adcock brothers inc,42100,41000,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2013,Chevrolet,Suburban,LTZ 1500,suv,automatic,1gnskke78dr164786,pa,4,61373,beige,black,the hertz corporation,30500,30900,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2013,Buick,LaCrosse,Leather Group,sedan,,1g4gc5e34df332852,pa,38,58333,silver,black,the hertz corporation,13750,14500,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2013,Chevrolet,Silverado 1500,LT,crew cab,automatic,3gcpkse79dg207904,in,37,30027,blue,black,craig & landreth inc.,28300,30000,Thu Jun 18 2015 03:10:00 GMT-0700 (PDT)
2013,Chevrolet,Silverado 1500,LT,crew cab,automatic,3gcpkse77dg127503,tx,31,32333,silver,black,motor trade,28100,28500,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2013,Buick,Verano,Leather Group,sedan,,1g4ps5sk4d4210910,pa,35,43818,white,black,the hertz corporation,12100,12000,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
