year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2012,Audi,Q5,3.2 Premium Plus quattro,suv,automatic,wa1wkbfp0ca135055,fl,37,63517,black,black,the collection,26100,23000,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
2012,Audi,A5,2.0T Premium,convertible,automatic,wauafafh0cn001823,fl,29,39084,silver,black,braman honda of palm beach,23000,19200,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
2012,Audi,A7,Premium quattro,sedan,automatic,wau2gafc6cn088164,fl,4,36433,gray,black,the collection,40600,39800,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
2012,Audi,Q5,3.2 Premium Plus quattro,suv,,wa1dkafp5ca132363,pa,43,20317,—,brown,r hollenshead auto sales inc,32800,33250,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2012,Audi,A4,2.0T Premium,sedan,automatic,wauafafl7ca119640,fl,44,36717,black,black,the collection,18300,17200,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
2012,Audi,Q5,2.0T Premium quattro,suv,automatic,wa1lfafpxca135923,ca,44,21988,black,black,desert european motorcars,29900,31000,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT)
2012,BMW,3 Series,328i,sedan,manual,wba3a5g5xcnn65921,wa,35,28306,black,black,remarketing by ge/manheim california,24800,21800,Wed Jun 17 2015 05:00:00 GMT-0700 (PDT)
2012,BMW,5 Series,528i xDrive,sedan,automatic,wbaxh5c51cdw07675,nv,29,27434,white,black,financial services remarketing (lease),27100,27250,Fri Jun 19 2015 05:00:00 GMT-0700 (PDT)
2012,BMW,5 Series,535i,sedan,automatic,wbafr7c55cc811955,ca,47,34750,gray,black,commonwealth audi volkswagen,29200,28500,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2012,BMW,6 Series,650i xDrive,convertible,,wbalz5c57cc619735,pa,44,21145,—,beige,r hollenshead auto sales inc,51100,50250,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2012,BMW,5 Series,550i xDrive,sedan,,wbafu9c59cdy70091,pa,47,26403,black,brown,r hollenshead auto sales inc,35400,35000,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2015,GMC,Sierra 1500,SLT,crew cab,,3gtu2vecxfg279117,tx,5,1207,white,beige,pro financial inc,41400,42600,Wed Jun 17 2015 03:20:00 GMT-0700 (PDT)
2015,Ford,Transit Wagon,350 XL Low Roof,van,automatic,1fbzx2zm5fka16068,tx,48,4275,white,gray,corporate cars inc,30900,30200,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
2015,Ford,Transit Van,250 Low Roof,transit van,automatic,1ftyr1zm6fka32906,wi,28,8163,white,gray,remarketing by ge/bwas,24500,24600,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
2012,MINI,Cooper Countryman,Base,wagon,automatic,wmwzb3c56cwm03778,ca,44,51267,red,black,mercedes benz of ontario,14150,14000,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT)
2012,BMW,X5,xDrive35i Premium,suv,,5uxzv4c50cl750362,pa,42,45807,black,brown,r hollenshead auto sales inc,31800,29300,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
2012,BMW,X5,xDrive35d,suv,automatic,5uxzw0c5xcl667186,az,43,46463,white,beige,chapman corporate wholesale,30300,30500,Thu Jun 18 2015 05:00:00 GMT-0700 (PDT)
2012,BMW,X5,xDrive35d,suv,automatic,5uxzw0c50c0b88523,ca,42,14196,black,black,stanford car co,36600,36750,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
2008,Mercedes-Benz,C-Class,C300 Sport 4MATIC,sedan,,wddgf81x98f185011,ab,36,147024,white,black,southside mitsubishi,11250,10250,Thu Jun 18 2015 04:30:00 GMT-0700 (PDT)
